Ward,Armstrong,Democrat,http://www.politifact.com/personalities/ward-armstrong/,"Ward Armstrong, D-Henry County,  was a  a member of the Virginia House of Delegates from 1992 to 2012, serving the final five years as minority leader. He served on the Courts of Justice, Finance, and Rules committees. In 2011, House Republicans merged Armstrong's district with that of another incumbent, Republican Charles Poindexter. Armstrong was defeated by Poindexter that fall.

,"
Dave,Aronberg,Democrat,http://www.politifact.com/personalities/dave-aronberg/,"Dave Aronberg is a former state senator from Palm Beach County who campaigned to be Florida Attorney General and was defeated in the Democratic Primary on Aug. 24, 2010. He was elected Palm Beach State Attorney in 2012."
Larry,Ashley,Republican,http://www.politifact.com/personalities/larry-ashley/,Larry Ashley was elected Okaloosa Sheriff in 2010. He began his law enforcement career at the Okaloosa County Sheriff’s Office in 1990 in the Uniformed Patrol Division.
Reza,Aslan,None,http://www.politifact.com/personalities/reza-aslan/,"Reza Aslan is a scholar of religions and author of several books, including Zealot: The Life and Times of Jesus of Nazareth. He teaches at the University of California, Riverside."
Julian,Assange,Julian,http://www.politifact.com/personalities/julian-assange/,
Associated,Industries,Organization,http://www.politifact.com/personalities/associated-industries-florida/,"
	Associated Industries of Florida is a lobbying group focused on business issues."
GSU,Alumni,this,http://www.politifact.com/personalities/gsu-alumni-association/,
Association,of,Organization,http://www.politifact.com/personalities/association-mature-american-citizens/,"
	The Association of Mature American Citizens was founded in 2007. Its founder, a retired insurance agency owner named Dan Weber, said he created it to counter what he saw as the political bias of the American Association of Retired Persons. Besides acting as a self-proclaimed conservative advocacy group, the organization offers discounts to members from cooperating businesses. "
Texas,Association,None,http://www.politifact.com/personalities/texas-association-school-boards/,"
	The Texas Association of School Boards, an advocacy and education group, says its membership includes every Texas school district, 20 regional education service centers, 50 community colleges, 38 tax appraisal districts and others. The group says its mission is to promote educational excellence for Texas schoolchildren."
Rob,Astorino,Republican,http://www.politifact.com/personalities/rob-astorino/,"Rob Astorino is a Republican who is the county executive of Westchester County, N.Y., just north of New York City. He is running against Democratic Gov. Andrew Cuomo."
Athens,Banner-Herald,The,http://www.politifact.com/personalities/athens-banner-herald/,
Joe,Atkins,Minnesota,http://www.politifact.com/personalities/joe-atkins/,
Atlanta,Braves,The,http://www.politifact.com/personalities/atlanta-braves/,
Atlanta,Journal-Constitution,The,http://www.politifact.com/personalities/atlanta-journal-constitution/,
Atlanta,Police,The,http://www.politifact.com/personalities/atlanta-police-foundation/,
Atlanta,Sports,The,http://www.politifact.com/personalities/atlanta-sports-council/,
Atlanta,neighborhood,An,http://www.politifact.com/personalities/atlanta-neighborhood-association/,
Gayle,Atteberry,Gayle,http://www.politifact.com/personalities/gayle-atteberry/,
Jeff,Atwater,Republican,http://www.politifact.com/personalities/jeff-atwater/,"Jeff Atwater, a former state Senator from North Palm Beach, was elected Florida Chief Financial Officer on Nov. 2, 2010 and re-elected Nov. 4, 2014."
James,Aubin,Activist,http://www.politifact.com/personalities/james-aubin/,"James Aubin, of North Smithfield, is a member of Common Sense Citizen, a group he formed to fight for legalization of marijuana in Rhode Island."
Richard,August,Talk,http://www.politifact.com/personalities/richard-august/,"Richard August, aka Sigmund Sauer, is a co-host on WHJJ's weekly radio show “Lock, Stock and Daria,” which discusses firearms-related issues."
Loranne,Ausley,Democrat,http://www.politifact.com/personalities/loranne-ausley/,"
	Loranne Ausley, a former member of the Florida House of Representatives, campaigned to be Florida Chief Financial Officer and was defeated on Nov. 2, 2010."
City,of,None,http://www.politifact.com/personalities/city-austin/,"Austin, the capital of Texas, is a city in Central Texas."
Austin,Water,The,http://www.politifact.com/personalities/austin-water-utility/,
Austinites,for,Austinites,http://www.politifact.com/personalities/austinites-geographic-representation/,
Brad,Avakian,Brad,http://www.politifact.com/personalities/brad-avakian/,
David,Axelrod,David,http://www.politifact.com/personalities/david-axelrod/,
John,Axford,None,http://www.politifact.com/personalities/john-axford/,"
	John Axford is a relief pitcher for the Milwaukee Brewers."
Carla,Axtman,Columnist,http://www.politifact.com/personalities/carla-axtman/,"Carla Axtman is a writer for Blue Oregon, a left-leaning political blog."
Jimmie,Don,Republican,http://www.politifact.com/personalities/jimmie-don-aycock/,"
	Jimmie Don Aycock is a Texas House member from Killeen."
Kelly,Ayotte,Republican,http://www.politifact.com/personalities/kelly-ayotte/,"
	Kelly Ayotte is a U.S. Senator representing New Hampshire as a Republican. She was the first woman to serve as her state's attorney general. Appointed to that position in 2004 by a Republican governor, she was twice reappointed by a Democratic governor."
